repositoryname,comment_count,unique_pr_count,pull_numbers
dadoagency/contentful-gatsby-components,1,1,59
storybookjs/storybook,3,2,"16527, 24580"
spryker/oryx,1,1,9
storybookjs/react-docgen-typescript-plugin,2,1,12
owncast/owncast,3,1,3358
adobe/react-spectrum,1,1,7742
