pr_title,text,url,comment_index,commit_count_since_comment,total_comments,total_commits,comment_count_since_comment,created_at,closed_at,state,changefile,addline,deleteline,fileChanges
Specify vertical positioning of skip link,"@tobiasljungstrom Sorry for the long delay! 😞

It seems like the button in shown in this story, when it shouldn't:
https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=632105a2ff4ffcc9270114e0

Is this something you could investigate?",https://github.com/storybookjs/storybook/pull/17756#issuecomment-1246339422,8,0,9,5,1,2022-03-18T15:00:57Z,2023-01-13T11:17:38Z,CLOSED,5.0,34.0,38.0,"MODIFIED:code/examples/angular-cli/src/app/app.component.spec.ts
MODIFIED:code/lib/core-common/src/utils/progress-reporting.ts
MODIFIED:code/lib/store/src/csf/testing-utils/types.ts
MODIFIED:code/lib/ui/src/components/sidebar/Heading.stories.tsx
MODIFIED:code/lib/ui/src/components/sidebar/Heading.tsx"
get-icons #4 - Populate existing icon components from Figma,"The cross appears larger than the height of the letters in the buttons - especially in the default and small sizes - we should probably check with design if they're happy with that:
https://www.chromatic.com/test?appId=5e933197d94d9c002275a15e&id=62330ead626d2d003a416a3c
![image](https://user-images.githubusercontent.com/15648334/160429392-ae37f67e-7873-4042-9327-b7f86760712a.png)

https://www.chromatic.com/test?appId=5e933197d94d9c002275a15e&id=62330ead626d2d003a416a3d
![image](https://user-images.githubusercontent.com/15648334/160429001-3aea662b-813b-40c4-9086-b9517f9f0754.png)
https://www.chromatic.com/test?appId=5e933197d94d9c002275a15e&id=62330ead626d2d003a416a3e

![image](https://user-images.githubusercontent.com/15648334/160429531-7bf28a6a-e9f7-4486-b26b-f093f5c96c03.png)
",https://github.com/guardian/source/pull/1307#discussion_r836569925,1,9,10,15,9,2022-03-14T16:27:59Z,2022-04-29T10:02:20Z,CLOSED,69.0,1565.0,1337.0,"ADDED:.changeset/short-seals-happen.md
MODIFIED:package.json
MODIFIED:packages/@guardian/source-react-components/src/deprecated-exports.ts
MODIFIED:packages/@guardian/source-react-components/src/icons/Icons.stories.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgAlertRound.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgAlertTriangle.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgAppleBrand.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgArrowDownStraight.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgArrowLeftStraight.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgArrowRightStraight.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgArrowUpStraight.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgAudio.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgCamera.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgCheckmark.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronDownSingle.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronLeftDouble.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronLeftSingle.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronRightDouble.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronRightSingle.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgChevronUpSingle.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgClock.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgCreditCard.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgCross.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgCrossedOutCloud.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgDirectDebit.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgDirectDebitWide.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgEnvelope.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgExclamation.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgExternal.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgEye.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgEyeStrike.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgFacebook.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgFacebookBrand.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgFacebookMessenger.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgGift.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgGlobe.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgGoogleBrand.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgHouse.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgIndent.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgInfoRound.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgLinkedIn.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgMediaControlsPlay.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgMinus.tsx
DELETED:packages/@guardian/source-react-components/src/icons/components/SvgPayPal.tsx
ADDED:packages/@guardian/source-react-components/src/icons/components/SvgPayPalBrand.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgPerson.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgPinned.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgPinterest.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgPlus.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgQuote.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgSettings.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgSpeechBubble.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgStar.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgTickRound.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgTwitter.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgVideo.tsx
MODIFIED:packages/@guardian/source-react-components/src/icons/components/SvgWhatsApp.tsx
ADDED:packages/@guardian/source-react-components/src/icons/svgs/pay-pal-brand.svg
MODIFIED:packages/@guardian/source-react-components/src/icons/svgs/pay-pal.svg
MODIFIED:packages/@guardian/source-react-components/src/index.ts
MODIFIED:scripts/get-icons/components.test.ts
MODIFIED:scripts/get-icons/components.ts
MODIFIED:scripts/get-icons/config.ts
MODIFIED:scripts/get-icons/index.ts
ADDED:scripts/get-icons/labels.ts
ADDED:scripts/get-icons/process-svg.test.ts
RENAMED:scripts/get-icons/process-svg.ts
DELETED:scripts/get-icons/process.test.ts
MODIFIED:scripts/validate-dist/source-package-exports.test.ts"
chore(npm): Bump everything except React.,"It appears that Visx is detecting the length of the label (string) on each node as `0`, based on the value in the DOM (see https://www.chromatic.com/test?appId=61562fccd90e96003afe472a&id=627700721b0b1d004affdcfa) and this line of code: https://github.com/hackworthltd/primer-app/blob/db01764f04aea1a74889a0245dda622c21220d37/packages/primer-components/src/TreeVisx/TreeVisx.tsx#L75",https://github.com/hackworthltd/primer-app/pull/332#issuecomment-1120316930,3,0,6,4,3,2022-05-07T19:52:52Z,2022-05-26T11:42:49Z,CLOSED,11.0,991.0,626.0,"MODIFIED:flake.nix
MODIFIED:package.json
MODIFIED:packages/primer-app/package.json
ADDED:packages/primer-components/.babelrc
DELETED:packages/primer-components/.storybook/main.js
ADDED:packages/primer-components/.storybook/main.ts
RENAMED:packages/primer-components/.storybook/preview.tsx
MODIFIED:packages/primer-components/package.json
MODIFIED:packages/primer-types/package.json
MODIFIED:scripts/deploy-to-chromatic.sh
MODIFIED:yarn.lock"
Add `data-chromatic` to calendar today,For some reason this doesn't work https://www.chromatic.com/test?appId=628e27029fcf95004a62cafd&id=629f08620be3b2004a75ce7f,https://github.com/jpmorganchase/salt-ds/pull/154#issuecomment-1148346047,1,0,3,1,2,2022-06-07T08:08:00Z,2022-06-07T08:14:56Z,CLOSED,1.0,3.0,0.0,MODIFIED:packages/lab/src/calendar/internal/CalendarDay.tsx
feat(sticky-token-filters): add support for sticky filters,Is this change in the story VRT intended? https://www.chromatic.com/test?appId=5e53448165911c0022e68c74&id=63335b72088330e302a5483f,https://github.com/twilio-labs/paste/pull/2602#issuecomment-1261199307,4,2,13,2,9,2022-08-09T23:30:18Z,2022-09-29T14:30:39Z,CLOSED,8.0,133.0,15.0,"MODIFIED:packages/paste-website/src/components/shortcodes/PageAside.tsx
MODIFIED:packages/paste-website/src/components/shortcodes/table-of-contents/index.tsx
MODIFIED:packages/paste-website/src/components/site-wrapper/SiteBody.tsx
MODIFIED:packages/paste-website/src/components/site-wrapper/index.tsx
MODIFIED:packages/paste-website/src/components/tokens-list/TokensListFilter.tsx
MODIFIED:packages/paste-website/src/components/tokens-list/index.tsx
MODIFIED:packages/paste-website/src/constants.ts
MODIFIED:packages/paste-website/src/pages/tokens/list/index.mdx"
feat(sticky-token-filters): add support for sticky filters,"> Is this change in the story VRT intended? https://www.chromatic.com/test?appId=5e53448165911c0022e68c74&id=63335b72088330e302a5483f

I think it has to be to sit over the top of the content. Otherwise, with a transparent background you'll see the list of tokens through the sticky tokens filters as you scroll",https://github.com/twilio-labs/paste/pull/2602#issuecomment-1261201874,5,2,13,2,8,2022-08-09T23:30:18Z,2022-09-29T14:30:39Z,CLOSED,8.0,133.0,15.0,"MODIFIED:packages/paste-website/src/components/shortcodes/PageAside.tsx
MODIFIED:packages/paste-website/src/components/shortcodes/table-of-contents/index.tsx
MODIFIED:packages/paste-website/src/components/site-wrapper/SiteBody.tsx
MODIFIED:packages/paste-website/src/components/site-wrapper/index.tsx
MODIFIED:packages/paste-website/src/components/tokens-list/TokensListFilter.tsx
MODIFIED:packages/paste-website/src/components/tokens-list/index.tsx
MODIFIED:packages/paste-website/src/constants.ts
MODIFIED:packages/paste-website/src/pages/tokens/list/index.mdx"
feat(react-ui): Add TextArea Component,"This change breaks the appearance of the status badge icon – the class name stops being applied to the markup. See [a visual  comparison here](https://www.chromatic.com/test?appId=6373995e3f280e239470296d&id=64905006abaee7d4b89a607f).

Even though there's a linter warning here, it perhaps makes sense to leave the selector as it was in this PR since 1) the way this warning is fixed breaks styles for `cvi-status-badge` Sass component and 2) the change is unrelated to textarea component which is the scope of the PR. ",https://github.com/e-gov/cvi/pull/113#discussion_r1234043008,10,6,18,33,8,2023-06-08T12:06:28Z,2023-07-20T13:19:15Z,CLOSED,6.0,111.0,80.0,"MODIFIED:apps/react-sandbox/src/app/app.tsx
ADDED:libs/react-ui/package-lock.json
MODIFIED:libs/react-ui/src/index.ts
DELETED:libs/react-ui/src/lib/button/button.module.scss
MODIFIED:libs/react-ui/src/lib/button/button.tsx
ADDED:libs/react-ui/src/lib/textarea/textarea.tsx"
Updating thumbs up/down filled icons,"These icons were added in #566 and these new versions are [not visually any different per Chromatic](https://www.chromatic.com/test?appId=60919c26122bd50039b34644&id=65eb8b6850e1ba8cf2dbc09c), so I am closing this pull request.",https://github.com/ithaka/pharos/pull/570#issuecomment-1986490667,3,0,5,13,2,2023-07-27T21:50:40Z,2024-03-08T22:09:25Z,CLOSED,3.0,9.0,4.0,"ADDED:.changeset/four-fireants-burn.md
MODIFIED:packages/pharos/assets/icons/thumbs-down-filled.svg
MODIFIED:packages/pharos/assets/icons/thumbs-up-filled.svg"
feat: Remove vAlign property from TableStyles,"@stephenh - I'm noticing potential issues thanks to Storybook. Specifically when we have a row that contains both plain text and form fields or other elements the increase the height. Then the elements in the row just off quite a bit... see screenshot that I've marked up with a horizontal guide across the row:

![Screenshot 2023-07-17 at 12 52 31 PM](https://github.com/homebound-team/beam/assets/1143861/48fb3e11-3826-4e40-8989-4a78d37734b2)


You can notice the `#` column looks quite odd when compared to the rest of the row. Even the Icon has a different height from the form field, so those are not vertically aligned perfectly either.

Here's the storybook diff: https://www.chromatic.com/test?appId=60466f7d43c37c0021788867&id=64b55d592cb5a7a37388b99b",https://github.com/homebound-team/beam/pull/900#issuecomment-1638520839,1,0,7,1,6,2023-07-17T15:22:34Z,2023-07-17T17:43:05Z,CLOSED,2.0,2.0,10.0,"MODIFIED:src/components/Table/Table.qa.stories.tsx
MODIFIED:src/components/Table/TableStyles.tsx"
Added support of UnifiedThemeProvider in Page component,"> @camilaibs @benjdlambert could you pls help me a bit with these storybooks, what am I missing ?

Hi 👋🏻 ,
Here you can find details about build errors:
https://www.chromatic.com/build?appId=5eafd13eaebb8f00227540f4&number=10911
![image](https://github.com/backstage/backstage/assets/6290749/832da159-8c07-4f89-ba17-8f0435e11a79)


It looks like the getPageTheme is undefined:
https://www.chromatic.com/test?appId=5eafd13eaebb8f00227540f4&id=655f2c449a0c27e8ba599c63
![image](https://github.com/backstage/backstage/assets/6290749/b2d8ea1d-27b1-4cca-bd58-28d1c2db6e29)
",https://github.com/backstage/backstage/pull/21482#issuecomment-1824354502,2,0,16,3,14,2023-11-22T17:38:57Z,2023-12-23T14:34:38Z,CLOSED,9.0,68.0,13.0,"ADDED:.changeset/perfect-pianos-tan.md
MODIFIED:packages/core-components/package.json
MODIFIED:packages/core-components/src/layout/Page/Page.tsx
MODIFIED:packages/theme/api-report.md
MODIFIED:packages/theme/package.json
MODIFIED:packages/theme/src/unified/UnifiedTheme.tsx
MODIFIED:packages/theme/src/unified/UnifiedThemeProvider.tsx
MODIFIED:packages/theme/src/unified/index.ts
MODIFIED:yarn.lock"
